,English,German,Arabic
66,My aunt brought me some flowers.,Meine Tante hat mir Blumen mitgebracht.,جلبت لي عمتي بعض الأزهار.
67,You should sleep.,Du solltest schlafen.,من الأفضل لك أن تنام.
68,members of the bribr team however believe that knowledge and social responsibility are key to positive change and in this context the post election protests in russia gv coverage is here and here are mentioned in the manifesto.,"Die Mitglieder des Brigr-Teams sind jedoch der Meinung, dass Wissen und soziale Verantwortung für einen positiven Wandel entscheidend sind und in diesem Zusammenhang werden hier und hier die Nachwahlproteste in russland-gv-Berichterstattung im Manifest erwähnt.",مع ذلك يومن اعضاء من فريق بريبر بكون المعرفة والمسوولية المجتمعية مفاتيح للتغير الايجابي وفي هذا السياق ذكرت احتجاجات ما بعد الانتخابات في روسيا تجدون تغطية الاصوات العالمية هنا وهنا في البيان التاسيسي
69,I had my car stolen last night.,Letzte Nacht wurde mir mein Auto gestohlen.,سُرقت سيارتي ليلة البارحة.
70,Tom likes tea better than coffee.,Tom mag Tee besser als Kaffee.,توم يحب الشاي أكثر من القهوة.
71,dan braghis proposed to global voices author sylwia presley in a pitch session at oxford geeks event ogn and she said yes congratulations.,Dan Braghis schlug der globalen Stimmenautorin sylwia presley in einer Pitch-Session bei oxford geeks event ogn vor und sie sagte ja Glückwünsche.,عرض دان براغس الزواج على كاتبة الاصوات العالمية سيلفيا بريسلي خلال موتمر لمهاويس التكنولوجيا في اوكسفورد وقبلت سيلفيا مبروك
72,They come from Sweden.,Sie kommen aus Schweden.,هم من السويد
73,You have to go.,Du musst gehen.,عليك أن تذهب.
74,Where's the map?,Wo ist die Karte?,أين الخريطة؟
75,This pigeon flew from San Francisco to New York.,Diese Taube flog von San Francisco nach New York.,طارت الحمامة من سان فرنسيسكو إلى نيويورك.
76,How do I get to Park Street?,Wie komme ich zur Park Street?,كيف أصل إلى شارع بارك؟
77,Please fill out the attached application form.,Bitte füllen Sie das beigefügte Antragsformular aus.,يرجى ملء نموذج طلب الوظيفة المرفق.
78,uber is much safer at night.,Uber ist nachts viel sicherer.,اوبر اكثر امانا في الليل
79,"Tom wanted to explain, but Mary wouldn't let him.","Tom wollte es erklären, aber Maria ließ es nicht zu.",أراد توم التوضيح ولكن ماري لم تدعه.
80,I can't tell her now. It's not that simple anymore.,"Ich kann es ihr jetzt nicht sagen, es ist nicht mehr so einfach.",لا أستطيع أن أخبرها، لم يعد الأمر بسيطًا.
81,You'd better not wait here.,Warte lieber nicht hier.,يستحسن ألا تنتظر هنا.
82,china hush translates a local investigative report about the design of cement cones under the highway bridges in guangzhou it is obvious that the purpose of the cones is to drive away homeless people yet no government department has admitted the responsibility so far.,"China Hush übersetzt einen lokalen Untersuchungsbericht über die Gestaltung von Zementzapfen unter den Autobahnbrücken in Guangzhou ist es offensichtlich, dass der Zweck der Zapfen ist, obdachlose Menschen zu vertreiben, aber keine Regierungsabteilung hat die Verantwortung bisher zugegeben.",قام موقع تشاينا هاش بترجمة تحقيق محلي مصور يبلغ عن تصميم كتل اسمنتية صغيرة مخروطة الشكل مسننة اسفل جسور الطريق السريع في جوانجزو من الواضح ان الغرض من تلك الكتل هو منع المشردين ومن هم بلا ماوى من المكوث في تلك الاماكن وحتى الان لم تعلن اية جهة حكومية مسووليتها عن هذا الامر
83,It only takes a few minutes.,Es dauert nur ein paar Minuten.,ستأخذ بضع دقائق.
84,Is it rainy?,Ist es regnerisch?,هل الجو ممطر؟
85,Do you have anything to say regarding this?,Haben Sie dazu etwas zu sagen?,هل لديك ما تقوله بخصوص هذا الأمر؟
86,dec ranakabbani children mothers murdered by genocidal assad today among killed so far as a christmas gift to our people syria assadcrimes.,"dec ranakabbani Kinder Mütter ermordet durch Völkermord Assad heute unter getötet, so weit wie ein Weihnachtsgeschenk an unser Volk syria asadcrimes.",يناير كانون الثاني ٢٠١٣ بخلاف هذا اليوم فان اكثر من ١٠٣ طفلا سوريا قتلو منذ عيد ليلة عيد الميلاد ضحايا الاطفال
87,Can you pick me up at the station?,Kannst du mich am Bahnhof abholen?,أيمكنك أن تأتي لأخذي من المحطة؟
88,what is it like to be a student at the indigenous university of venezuela es three students from the department of edu communication recently took part in a workshop led by rising voices in order to learn how to take better digital photographs and how to upload and share them on the internet.,"Wie ist es, ein Student an der indigenen Universität venezuela es zu sein, drei Studenten aus der Abteilung für Bildungskommunikation haben kürzlich an einem Workshop teilgenommen, der von steigenden Stimmen geleitet wurde, um zu lernen, wie man bessere digitale Fotos macht und wie man sie im Internet hochlädt und teilt.",هل كنت من قبل طالبا في جامعة السكان الاصليين بفنزويلا؟ بالاسبانية شارك ثلاثة طلاب من قسم الاعلام التعليمي موخرا في ورشة نظمتها الاصوات الصاعدة بهدف تعلم كيفية التقاط صور رقمية مميزة وكيف يقومون برفعها ومشاركتها عبر شبكة الانترنت
89,Muammar Kaddafi escaped unharmed.,Muammar Kaddafi entkam unverletzt.,هرب معمر القذافي سليمًا.
90,Why were you there?,Warum waren Sie da?,لماذا كنت هناك؟
91,That is his car.,Das ist sein Auto.,تلك هي سيارته
92,I never could say no to you.,Ich konnte nie nein zu dir sagen.,انني لن اقول لك لا مطلقا
93,I don't for a moment doubt your honesty.,"Ich bezweifle nicht, dass du ehrlich bist.",لا أشكّ لحظة في صدقك.
94,sidi gaber station two storey shopping mall photo by shaimaa ashour may used with permission.,sidi gaber station zwei geschossige shopping Mall Foto von shaimaa ashour kann mit Erlaubnis verwendet werden.,اعدت المعمارية المصورة والمدونة شيماء عاشور مقال مصور عن محطة سيدي جابر بالاسكندرية مصر ترصد فيه ما طرا بها من تغيرات
95,Please move to the rear of the bus.,Bitte fahren Sie zum hinteren Teil des Busses.,انتقل الى الجزء الخلفي من الباص رجاءً .
96,She is almost as tall as you.,Sie ist fast so groß wie du.,إنها بنفس طولك تقريباً.
97,Europeans like to drink wine.,Europäer trinken gerne Wein.,يحب أهل أوروبا شرب الخمر.
98,What a cute little girl!,Was für ein süßes kleines Mädchen!,يا لها من فتاة جميلة!
99,I'd like to talk to the manager.,Ich möchte mit dem Manager sprechen.,أود التحدث مع المدير.
100,She waited for my reply.,Sie wartete auf meine Antwort.,انتظرتْ ردي.
101,Tom was supposed to meet me here.,Tom sollte mich hier treffen.,كان مفترضا أن يقابلني توم هنا.
102,He always tells the truth.,Er sagt immer die Wahrheit.,إنه صادق دائماً.
103,He has been warned on several occasions.,Er wurde mehrfach gewarnt.,قد أُنذِر مرات عديدة.
104,I like playing sports.,Ich spiele gerne Sport.,أحب ممارسة الألعاب الرياضية.
105,She is well known both in Japan and in America.,Sie ist sowohl in Japan als auch in Amerika bekannt.,إنها مشهورة في اليابان وأمريكا أيضًا.
106,What he says does not make any sense.,"Was er sagt, ergibt keinen Sinn.",ما يقوله ليس له أي معنى.
107,A prolonged silence followed.,Es folgte eine lange Stille.,حدث بعده سكون طويل.
108,I need your help.,Ich brauche deine Hilfe.,أحتاج مساعدتك.
109,for example the journey of flower a martial arts fantasy novel published on a literature website jinjiang wenxue city in has become one of china s most successful works and later published in book form the tale about a god and goddess fated to kill each other who then fall in love in the afterlife has turned into a franchise that includes a video game a movie and a hit television series that has become the first drama in china to pass billion views online.,"zum Beispiel die Reise der Blume ein Kampfkunst Fantasy-Roman auf einer Literatur-Website veröffentlicht jinjiang Wenxue Stadt in hat sich zu einem der erfolgreichsten Werke China und später in Buchform die Geschichte über einen Gott und Göttin, die sich gegenseitig zu töten, die dann in der Liebe im Jenseits verlieben, hat sich in ein Franchise, das ein Videospiel ein Film und ein Hit-Fernsehserie, die das erste Drama in China geworden ist, um Milliarden Ansichten online passieren.",وهكذا اصبحت رواية رحلة زهرة التي تمزج الخيال بالفنون الحربية المنشورة على موقع جينجيانغ ونكسو للادب عام احد الاعمال الاكثر شعبية في البلد ومن ثم نشرت في كتاب تقليدي تروي القصة حكاية اله والهة يقدر لهما قتل بعضهما البعض الا انهما يقعان في الحب في العالم الاخر وقد حصلت الرواية على امتياز يتضمن تحويلها الى لعبة فيديو وفيلم ومسلسل تلفزيوني وكانت اول عمل درامي خيالي في الصين تتجاوز نسبة مشاهدته مليار مشاهدة على شبكة الانترنت
110,He seems tired.,Er scheint müde zu sein.,يبدو متعباً.
111,Give me a chance!,Gib mir eine Chance!,اعطني فرصة!
112,Who knows?,Wer weiß?,من يدري؟
113,Tom is a fluent speaker of Japanese.,Tom spricht fließend Japanisch.,يتحدث توم اليابانية بطلاقة.
114,Do you know the reason?,Kennst du den Grund?,هل تعرف السبب؟
115,She knows nothing about your family.,Sie weiß nichts über deine Familie.,إنها لا تعرف شيئاً عن عائلتك.
116,Whose paper is this?,Wessen Zeitung ist das?,ورقة مَن هذه؟
117,neoclassical baroque with italian reminiscences vanguardist and even eclectic in some cases these domes are not only an excellent heritage that is excellently cared for and appreciated but also a sign of the economic strength that the area once had.,"neoklassischer Barock mit italienischen Reminiszenzen Avantgarde und sogar eklektisch in einigen Fällen sind diese Kuppeln nicht nur ein ausgezeichnetes Erbe, das ausgezeichnet gepflegt und geschätzt wird, sondern auch ein Zeichen der wirtschaftlichen Stärke, die das Gebiet einst hatte.",نيو كلاسيك باروك وكل ما يذكر المرء بطرز العمارة الايطالية وحتي العمارة التركيبية في بعض الحالات لا تعد تلك القباب تراث متميز يتم العناية به والاهتمام الفايق به فحسب لكنه ايضا علامة على الاقتصاد القوي الذي ساد في المنطقة يوم ما
118,I know what I want.,"Ich weiß, was ich will.",أنا أعلم ما أريد
119,I'll never ask Tom for help again.,Ich werde Tom nie wieder um Hilfe bitten.,لن أطلب المساعدة من توم مرة أخرى.
120,They've decided to get married next month.,"Sie haben beschlossen, nächsten Monat zu heiraten.",قررا الزواج الشهر المقبل.
121,I'm looking forward to your Halloween party.,Ich freue mich auf deine Halloween Party.,أنا أتتطلع لحفلة عيد القديسيين خاصتك.
122,donate to safeworld to give the support to the school in the zaatari refugee camp known as the children s camp because nearly half its residents are under the age of.,"Spenden Sie an die sichere Welt, um der Schule im Flüchtlingslager zaatari, das als Kinderlager bekannt ist, die Unterstützung zu geben, weil fast die Hälfte ihrer Bewohner unter dem Alter sind.",تبرعوا لعالم امن لدعم مدرسة في مخيم الزعتري للاجيين يسمى مخيم الاطفال ذلك لان حوالي نصف سكانه البالغ عددهم ٣٣٠٠٠ تحت سن الثامنة عشرة
123,an online literature writer expressed his anxiety on twitter.,Ein Online-Literaturschreiber drückte seine Angst auf Twitter aus.,واعرب احد المولفين عن قلقه على تويتر
124,I wanted red shoes.,Ich wollte rote Schuhe.,أردت الحذاء الأحمر.
125,Can I pay by credit card?,Kann ich mit Kreditkarte bezahlen?,أيمكنني الدفع عن طريق بطاقة الإئتمان؟
126,a jury will select two finalists from each global hack for good location on world refugee day june three winners will be selected the prize is a trip to kenya to test their prototypes in kakuma refugee camp.,"eine Jury wählt zwei Finalisten aus jedem globalen Hack für gute Lage am Weltflüchtlingstag Juni drei Gewinner gewählt werden, wird der Preis ist eine Reise nach Kenya, um ihre Prototypen im Kakuma Flüchtlingslager testen.",تختار لجنة تحكيم اثنان من كل مكان يعقد فيه الحدث للتنافس في الجولة الاخيرة يتم اختيار ثلاث فايزين في يوم اللاجي العالمي من يونيو حزيران الجايزة رحلة الى كينيا لاختبار النماذج الاولية في معسكر كاكوما للاجيين
127,remarkable in yolanda was her preoccupation for the sustainability of the resources that nourished her community which is the reason why she supported the legalisation of subsistence hunting in the collective territory of santa cecilia.,"Bemerkenswert in Yolanda war ihre Sorge um die Nachhaltigkeit der Ressourcen, die ihre Gemeinschaft nährten, weshalb sie die Legalisierung der Subsistenzjagd auf dem kollektiven Territorium von Santa Cecilia unterstützte.",وكان ملحوظا على يولاندا انهماكها في العمل على استمرارية الموارد التي تغذي مجتمعها وهذا سبب دعمها تشريع الصيد في الارض المشتركة بسانتا سيسيليا
128,I know only this.,Ich weiß nur das.,لا أعرف إلّا هذا.
129,Everybody agrees with you.,Alle stimmen Ihnen zu.,الجميع يتفق معك.
130,He taught himself French.,Er lehrte sich selbst Französisch.,علم نفسه الفرنسية.
131,He always tells the truth.,Er sagt immer die Wahrheit.,دائماً ما يصدق.
132,There's no reason that Tom would say something like that.,"Es gibt keinen Grund, warum Tom so etwas sagen würde.",لا سبب يدفع توم لقول شيء كهذا.
133,This is our land now.,Das ist jetzt unser Land.,باتت هذه أرضنا الآن.
134,It can't be!,Das kann nicht sein!,لا يمكن أن يحصل ذلك!
135,Bring him in.,Bringt ihn rein.,أدخله.
136,He drives his own car.,Er fährt sein eigenes Auto.,إنه يقود سيارته الخاصة.
137,"He wrote ""Best regards"" at the end of the letter and then went on to sign his name.","Am Ende des Briefes schrieb er ""Beste Grüße"" und unterschrieb dann seinen Namen.","كتب ""مع أطيب التحيات"" في آخر الرسالة ثم وقع اسمه."
138,How long is this?,Wie lange dauert das?,كم طول ذلك؟
139,at least civilians defectors soldiers and unidentified people have been killed in syria in the past months.,In den letzten Monaten wurden in Syrien zumindest Soldaten und nicht identifizierte Menschen von Zivilisten getötet.,مقتل ٢٨٠٢٦ من المدنيين ١٣٧٩ من المنشقين ١٠١٥٠ جنديا بالاضافة الى ٥٤٧ مجهولي الهوية خلال العشرين شهرا الماضية
140,You just have to promise me one thing.,Du musst mir nur eine Sache versprechen.,أنتً عليكَ فقط أن تعدُني بشيء واحد.
141,it ought to become something understood in the language that disabled people do things not in spite of or because of but with their disabilities.,"Es sollte etwas werden, das in der Sprache verstanden wird, dass behinderte Menschen Dinge tun, nicht trotz oder wegen ihrer Behinderung, sondern mit ihrer Behinderung.",لقد اصبح لزاما ان تكون هذه المسالة مستوعبة جيدا من ناحية اللغة وهي ان المعاقين يصنعون الانجازات ليس فقط رغما عن الاعاقة او بسبب الاعاقة ولكن ايضا مع الاعاقة
142,Do you study English?,Lernst du Englisch?,هل تدرس اللغة الإنكليزية؟
143,One day he killed himself.,Eines Tages hat er sich umgebracht.,وفي يوم من الأيام ، انتحر.
144,I'm sure you're mistaken.,"Ich bin sicher, Sie irren sich.",أنا متأكد أنكَ مخطئ.
145,We still have more time.,Wir haben noch mehr Zeit.,ما زال لدينا الكثير من الوقت.
146,watch mona caron stop motion animation of her painting.,watch mona caron stop motion animation von ihrem gemälde.,شاهد ادناه فيديو لرسومات مونا كارون
147,I still don't think it's fair.,Ich halte das immer noch nicht für fair.,لازلت غير مقتنعا بعدالة ذلك.
148,I heard that Tom is going to get married soon.,"Ich hörte, dass Tom bald heiraten wird.",سمعت بأن توم سيتزوج قريبا.
149,The judge's decision is final.,Die Entscheidung des Richters ist endgültig.,حكم القاضي نهائي.
150,This is not important.,Das ist nicht wichtig.,ليس ذلك بالشيء المهم.
151,Tell me what I can do to help.,"Sag mir, was ich tun kann, um zu helfen.",أخبرني ما الذي يمكنني فعله لمساعدتك.
152,Would you mind shutting the door?,"Würde es Ihnen etwas ausmachen, die Tür zuzuschließen?",أيمكنك أن تقفل الباب؟
153,Give me a break.,Lass mich in Ruhe.,اعطني مهلة.
154,the cover of moroccan weekly maroc hebdo lists the peril of black immigration in morocco posted on twitter by atourabi public domain.,das Cover von moroccan wöchentlich maroc hebdo listet die Gefahr der schwarzen Einwanderung in morocco posted on twitter by atourabi public domain.,غلاف مجلة مغربية اسبوعية ماروك ابدو تعدد مخاطر هجرة السود الى المغرب الصورة من حساب تويتر
155,Forget it.,Vergessen Sie's.,انسَ الأمر.
156,I can't forgive him for what he did.,"Ich kann ihm nicht verzeihen, was er getan hat.",لا أقدر أن أسامحه على ما فعل.
157,He decided to quit smoking.,"Er beschloss, mit dem Rauchen aufzuhören.",قرر أن يقلع عن التدخين.
158,She ironed his shirts.,Sie hat seine Hemden gebügelt.,كوت قمصانه.
159,I liked my teachers.,Ich mochte meine Lehrer.,كنت أحبّ مدرّسّيّ.
160,Aren't you thirsty?,Hast du nicht Durst?,ألست عطشاناً؟
161,Here comes the bus.,Da kommt der Bus.,ها قد أتت الحافلة.
162,She tossed me grapes and I tried to catch them with my mouth.,"Sie warf mir Trauben und ich versuchte, sie mit meinem Mund zu fangen.",قذفت لي العنب وحاولت أن أتلقفه بفمي.
163,Do you remember what she said?,"Weißt du noch, was sie gesagt hat?",هل تتذكر ما قالته؟
164,I'll buy a gift for Tom.,Ich kaufe Tom ein Geschenk.,سوف أشتري هديّة لتوم.
165,Can I take this with me?,Kann ich das mitnehmen?,هل أستطيع أن آخذ هذهِ معي؟
166,Take off your socks.,Zieh deine Socken aus.,انزع جوربيك.
167,jamaica for every child a laptop global voices.,jamaica für jedes Kind ein Laptop globale Stimmen.,جامايكا حاسب محمول لكل طفل الاصوات العالمية
168,What are you looking at?,Was glotzt du so?,إلامَ تنظر؟
169,I saw him running.,Ich sah ihn laufen.,رأيته يركض.
170,Kyoto has many universities.,Kyoto hat viele Universitäten.,هناك العديد من الجامعات في كيوتو.
171,global voices community members take a selfie at the gv summit in colombo sri lanka photo by faaris adam ieshan wani.,Globale Stimmen Community-Mitglieder nehmen ein Selfie auf dem Gv-Gipfel in colombo sri lanka Foto von faaris adam ieshan wani.,صورة لاعضاء مجتمع الاصوات العالمية في موتمر الاصوات العالمية في كولومبو سريلانكا الصورة بعدسة فاريس ادم ولشان واني
172,Which is your pen?,Welcher ist dein Stift?,أيٌّ قلمك؟
173,We have been to Tokyo many times.,Wir waren viele Male in Tokio.,زرنا طوكيو مرات عديدة.
174,What're you saying?,Was willst du damit sagen?,ما الذي تقوله؟
175,other censorship examples have emerged recently on september a year old netizen was sent to trial after his arrest over blasphemy charges that he was maintaining a facebook page entitled gerontas pastitsios elder pastitsios including satirical comments against christianity and the religious figure elder paisios and his alleged prophecies.,"Andere Zensur Beispiele haben vor kurzem im September ein Jahr alte Netizen wurde zum Prozess nach seiner Verhaftung wegen Blasphemie Anschuldigungen, dass er die Aufrechterhaltung einer Facebook-Seite mit dem Titel gerontas pastitsios älteren pastitsios einschließlich satirische Kommentare gegen das Christentum und die religiöse Figur älteren paisios und seine angeblichen Prophezeiungen.",برزت امثلة اخرى لفرض الرقابة موخرا حيث ارسل احد مستخدمى الانترنت والذى يبلغ عاما من العمر يوم من سبتمبر ايلول الى المحاكمة بعد اعتقاله بسبب اتهامات تكفيرية تعرب عن انه كان يرتاد يتبنى صفحة على فيسبوك بعنوان باسيوس الاكبر بما في ذلك التعليقات الساخرة ضد المسيحية والشخصية الدينية باسيوس الاكبر و نبوءاته المزعومة
